Angle		Sine		Cosine
0.000000		0.000000		1.000000
15.000000		0.258819		0.965926
30.000000		0.500000		0.866025
45.000000		0.707107		0.707107
60.000000		0.866025		0.500000
75.000000		0.965926		0.258819
90.000000		1.000000		0.000000
105.000000		0.965926		-0.258819
120.000000		0.866025		-0.500000
135.000000		0.707107		-0.707107
150.000000		0.500000		-0.866025
165.000000		0.258819		-0.965926
180.000000		0.000000		-1.000000
195.000000		-0.258819		-0.965926
210.000000		-0.500000		-0.866025
225.000000		-0.707107		-0.707107
240.000000		-0.866025		-0.500000
255.000000		-0.965926		-0.258819
270.000000		-1.000000		-0.000000
285.000000		-0.965926		0.258819
300.000000		-0.866025		0.500000
315.000000		-0.707107		0.707107
330.000000		-0.500000		0.866025
345.000000		-0.258819		0.965926
360.000000		-0.000000		1.000000
